ifuckinglovetea,3092414129,FALSE,7,FALSE,FALSE,1,53,440,2001,FALSE,FALSE,7,FALSE,28,FALSE,FALSE,0
onelittleleaf,2870693083,FALSE,10,FALSE,FALSE,2,10,30,99,FALSE,FALSE,0,FALSE,36,TRUE,FALSE,1
asheli,16738653,FALSE,22,FALSE,FALSE,2,0,36,112,FALSE,FALSE,1,FALSE,103,TRUE,FALSE,2
TheTeacupAttic,2711960443,FALSE,0,FALSE,TRUE,2,269,870,1576,FALSE,FALSE,21,FALSE,6759,TRUE,FALSE,1
ThePeerAwards,241004957,FALSE,10,FALSE,FALSE,2,324,568,1282,TRUE,FALSE,11,FALSE,420,TRUE,FALSE,2
TeaDrinkerChane,3091111695,FALSE,31,FALSE,FALSE,1,3,94,180,FALSE,FALSE,4,FALSE,10,FALSE,FALSE,2
DanielleGorsha,22595611,FALSE,166,FALSE,FALSE,2,11,128,219,FALSE,FALSE,3,FALSE,300,TRUE,FALSE,1
KickDish,3004115021,FALSE,0,FALSE,FALSE,2,1344,2873,3078,FALSE,FALSE,43,FALSE,1202,TRUE,FALSE,2
myteaworld,3079633407,FALSE,0,FALSE,FALSE,1,9,60,159,FALSE,FALSE,1,FALSE,11,FALSE,FALSE,2
Rosebud04,18573542,FALSE,?,FALSE,FALSE,1,172,22,1248,TRUE,FALSE,4,TRUE,423,FALSE,FALSE,0
Leaf_Holic,3024095660,FALSE,19,FALSE,FALSE,2,0,73,89,FALSE,FALSE,1,FALSE,80,TRUE,FALSE,1
naileditmedia,260857032,FALSE,26,FALSE,FALSE,2,81,2467,2296,FALSE,FALSE,36,FALSE,311,TRUE,FALSE,1
AshAtWork,281206990,FALSE,146,FALSE,FALSE,1,505,6517,5789,FALSE,FALSE,63,FALSE,173,FALSE,FALSE,0
boopshis,1524952147,FALSE,0,FALSE,FALSE,2,751,5407,3562,TRUE,FALSE,57,FALSE,1795,TRUE,FALSE,1
paulmahoneyart,2992270494,FALSE,23,FALSE,FALSE,2,22,169,638,TRUE,FALSE,6,FALSE,54,TRUE,FALSE,1
Restaurant4Less,2891144768,FALSE,0,FALSE,TRUE,2,0,1537,1916,FALSE,FALSE,4,FALSE,335,TRUE,FALSE,1
TheTeaShelf15,2939138036,FALSE,14,FALSE,FALSE,2,12,89,387,FALSE,FALSE,2,FALSE,59,TRUE,FALSE,1
trytheworld,1468595654,FALSE,5,FALSE,FALSE,2,1402,3063,2048,TRUE,FALSE,47,FALSE,1279,TRUE,FALSE,1
FinestEnglishT,2532273128,FALSE,29,FALSE,FALSE,2,11,791,877,FALSE,FALSE,8,FALSE,34,TRUE,FALSE,1
fruitionbottle,2493066810,FALSE,214,FALSE,FALSE,2,1,186,922,FALSE,FALSE,4,FALSE,19,TRUE,FALSE,1
TheMichaelBrown,16066655,FALSE,13,FALSE,FALSE,2,9,49270,48412,FALSE,FALSE,578,FALSE,3754,TRUE,FALSE,2
beshoymoneer_0,3076706603,FALSE,0,FALSE,FALSE,1,62,5260,5553,FALSE,FALSE,3,FALSE,130,FALSE,FALSE,0
CallieSimon,27524328,FALSE,0,FALSE,FALSE,1,113,22844,3830,TRUE,FALSE,32,FALSE,10785,FALSE,FALSE,1
Natalee_Thai,831188768,FALSE,2,FALSE,FALSE,2,316,1994,1618,FALSE,FALSE,13,FALSE,1346,TRUE,FALSE,1
Bubs_Grubs,2776456116,FALSE,0,FALSE,FALSE,2,35,30211,19842,TRUE,FALSE,291,FALSE,691,TRUE,FALSE,1
CLovegoddess,1306147430,FALSE,4,FALSE,FALSE,1,784,322,952,FALSE,FALSE,1,FALSE,10366,FALSE,FALSE,0
CuriousLeaves,3067947772,FALSE,32,FALSE,FALSE,1,42,144,173,FALSE,FALSE,4,FALSE,35,FALSE,FALSE,1
ludocw,1036016887,FALSE,321,FALSE,FALSE,1,1,27,191,FALSE,FALSE,1,FALSE,44,FALSE,FALSE,0
DachiTeaCo,2692037940,FALSE,9,FALSE,FALSE,2,447,1126,1990,FALSE,FALSE,14,FALSE,360,TRUE,FALSE,1
BellaSabatina,2610306176,FALSE,43,FALSE,FALSE,2,1131,187,102,FALSE,FALSE,10,FALSE,1053,TRUE,FALSE,1
richpagesax,83639708,FALSE,2,FALSE,FALSE,2,2249,28171,30974,FALSE,FALSE,285,FALSE,12604,TRUE,FALSE,1
amyarani,350448546,FALSE,46,FALSE,FALSE,2,290,579,653,FALSE,FALSE,9,FALSE,943,TRUE,FALSE,0
UkTeaClub,2792726757,FALSE,27,FALSE,FALSE,2,6,131,171,TRUE,FALSE,0,FALSE,34,TRUE,FALSE,1
peterhick,21605051,FALSE,5,FALSE,FALSE,1,388,3794,3693,TRUE,FALSE,68,FALSE,14477,FALSE,FALSE,0
ghograjantea,3032871403,FALSE,3,FALSE,FALSE,2,4,79,109,TRUE,FALSE,1,FALSE,16,TRUE,FALSE,1
wino14pav,3007780883,FALSE,670,FALSE,FALSE,1,0,821,2000,FALSE,FALSE,7,FALSE,53,FALSE,FALSE,0
adamphotoeve,2911289897,FALSE,0,FALSE,FALSE,2,1528,9678,9312,FALSE,FALSE,22,FALSE,2449,TRUE,FALSE,1
freshteacanada,2542529191,FALSE,0,FALSE,FALSE,2,156,383,542,TRUE,FALSE,10,FALSE,235,TRUE,FALSE,1
natcascagnette,3057745882,FALSE,0,FALSE,FALSE,1,22,63,182,FALSE,FALSE,0,FALSE,222,FALSE,FALSE,0
_HeavensSweets,2295998031,FALSE,390,FALSE,FALSE,2,93,552,1331,TRUE,FALSE,2,FALSE,229,TRUE,FALSE,1
TeaLeafTherapy,27219836,FALSE,0,FALSE,FALSE,2,1215,252,430,TRUE,FALSE,13,FALSE,1002,TRUE,FALSE,2
HarperrepraH,14892132,FALSE,8,FALSE,FALSE,2,985,8498,7921,TRUE,FALSE,7,FALSE,5361,TRUE,FALSE,0
teahurrahteas,2474037956,FALSE,170,FALSE,TRUE,2,14,199,610,TRUE,FALSE,4,FALSE,19,TRUE,FALSE,1
CoachZem,394724663,FALSE,0,FALSE,FALSE,2,7078,103448,103443,FALSE,FALSE,260,FALSE,4396,TRUE,FALSE,0
KiwiFox1,285827989,FALSE,0,FALSE,FALSE,2,0,191,474,FALSE,FALSE,3,FALSE,207,TRUE,FALSE,1
mcintoshtea,219596418,FALSE,93,FALSE,TRUE,2,40,809,1907,TRUE,FALSE,38,FALSE,1021,TRUE,FALSE,1
prosnation,1911124195,FALSE,0,FALSE,FALSE,2,4028,21170,21213,TRUE,FALSE,89,FALSE,19617,TRUE,FALSE,1
IDrinkMoTea,2997236333,FALSE,317,FALSE,FALSE,2,2,1672,2001,FALSE,FALSE,19,FALSE,16,TRUE,FALSE,1
socalmobilecafe,2891063750,FALSE,310,FALSE,FALSE,2,16,53,302,TRUE,FALSE,2,FALSE,43,TRUE,FALSE,1
walshhandley,50254841,FALSE,63,FALSE,FALSE,1,31,242,1458,TRUE,FALSE,3,FALSE,2461,FALSE,FALSE,0
AyumaKniepp,2525561538,FALSE,0,FALSE,FALSE,1,0,959,1064,FALSE,FALSE,0,FALSE,124,FALSE,FALSE,0
zahirsha,290398186,FALSE,251,FALSE,FALSE,1,4,452,983,TRUE,FALSE,5,FALSE,162,FALSE,FALSE,1
WAYNGFOUNDATION,2466451873,FALSE,426,FALSE,FALSE,2,168,1209,1393,FALSE,FALSE,16,FALSE,204,TRUE,FALSE,1
AmericanTeaExp,3023289465,FALSE,10,FALSE,FALSE,2,204,351,850,FALSE,FALSE,12,FALSE,126,TRUE,FALSE,1
MidoriMatchaCo,2413327897,FALSE,0,FALSE,FALSE,2,457,1285,1010,TRUE,FALSE,12,FALSE,1139,TRUE,FALSE,1
ToastLivingUSA,2811636222,FALSE,339,FALSE,FALSE,2,9,223,512,TRUE,FALSE,6,FALSE,94,TRUE,FALSE,1
EthicalTea,481976633,FALSE,61,FALSE,FALSE,2,48,446,947,FALSE,FALSE,13,FALSE,97,TRUE,FALSE,1
Academy4Growth,2283337874,FALSE,55,FALSE,FALSE,2,274,112584,29088,FALSE,FALSE,116,FALSE,254,TRUE,FALSE,1
yuraramulberry,2281936460,FALSE,10,FALSE,FALSE,2,627,2457,2522,FALSE,FALSE,17,FALSE,851,TRUE,FALSE,1
TeaSparrow,307569675,FALSE,26,FALSE,FALSE,2,2062,3716,1981,FALSE,FALSE,92,FALSE,1772,TRUE,FALSE,1
CuddleTea,3009421003,FALSE,55,TRUE,FALSE,2,3,360,688,FALSE,FALSE,9,FALSE,16,TRUE,FALSE,2
ClassGuitarist,460986429,FALSE,0,FALSE,FALSE,2,18667,71070,44901,FALSE,FALSE,527,FALSE,43616,TRUE,FALSE,1
Secrets_of_tea,1720605703,FALSE,5,FALSE,FALSE,2,3,205,632,FALSE,FALSE,4,FALSE,222,TRUE,FALSE,1
RKD_PESTCONTROL,2216021491,FALSE,1207,FALSE,FALSE,2,14,381,1440,TRUE,FALSE,3,FALSE,43,TRUE,FALSE,1
